       29440
 #  0.314000000000357     
 Fe          67           1          15
 Fe          67           1          16
 Fe          68           1           1
 Fe          68           1           2
 Fe          68           1           3
 Fe          68           1           4
 Na          68           1           5
 O           68           1           6
 C           68           1           7
 C           68           1           8
 C           68           1           9
 C           68           1          10
 O           68           1          11
 Na          68           1          12
 Fe          68           1          13
 Fe          68           1          14
 Fe          68           1          15
 Fe          68           1          16
 Fe          69           1           1
 Fe          69           1           2
 Fe          69           1           3
 Fe          69           1           4
 Na          69           1           5
 O           69           1           6
 C           69           1           7
 C           69           1           8
 C           69           1           9
 C           69           1          10
 O           69           1          11
 Na          69           1          12
 Fe          69           1          13
 Fe          69           1          14
 Fe          69           1          15
 Fe          69           1          16
 Fe          70           1           1
 Fe          70           1           2
 Fe          70           1           3
 Fe          70           1           4
 Na          70           1           5
 O           70           1           6
 C           70           1           7
 C           70           1           8
 C           70           1           9
 C           70           1          10
 O           70           1          11
 Na          70           1          12
 Fe          70           1          13
 Fe          70           1          14
 Fe          70           1          15
 Fe          70           1          16
 Na          71           1           5
 O           71           1           6
 C           71           1           7
 C           71           1           8
 C           71           1           9
 C           71           1          10
 O           71           1          11
 Na          71           1          12
 Na          72           1           5
 O           72           1           6
 C           72           1           7
 C           72           1           8
 C           72           1           9
 C           72           1          10
 H           72           1          11
 Na          72           1          12
 Na          73           1           5
 O           73           1           6
 C           73           1           7
 C           73           1           8
 C           73           1           9
 C           73           1          10
 N           73           1          11
 Na          73           1          12
 Na          74           1           5
 O           74           1           6
 C           74           1           7
 C           74           1           8
 C           74           1           9
 C           74           1          10
 P           74           1          11
 Fe          74           1          12
 Na          75           1           5
 O           75           1           6
 C           75           1           7
 C           75           1           8
 C           75           1           9
 O           75           1          10
 Cl          75           1          11
 Fe          75           1          12
 Na          76           1           5
 O           76           1           6
 C           76           1           7
 C           76           1           8
 C           76           1           9
 O           76           1          10
 Br          76           1          11
 Fe          76           1          12
 Na          77           1           5
 O           77           1           6
 C           77           1           7
 C           77           1           8
 C           77           1           9
 O           77           1          10
 Na          77           1          11
 Fe          77           1          12
 Na          78           1           5
 O           78           1           6
 C           78           1           7
 C           78           1           8
 C           78           1           9
 O           78           1          10
 Na          78           1          11
 Fe          78           1          12
 Na          79           1           5
 O           79           1           6
 C           79           1           7
 C           79           1           8
 C           79           1           9
 O           79           1          10
 Na          79           1          11
 Fe          79           1          12
 Na          80           1           5
 O           80           1           6
 C           80           1           7
 C           80           1           8
 C           80           1           9
 O           80           1          10
 Na          80           1          11
 Fe          80           1          12
 Na          81           1           5
 O           81           1           6
 C           81           1           7
 C           81           1           8
 C           81           1           9
 O           81           1          10
 Na          81           1          11
 Na          82           1           5
 O           82           1           6
 C           82           1           7
 C           82           1           8
 C           82           1           9
 O           82           1          10
 Na          82           1          11
 Na          83           1           5
 O           83           1           6
 C           83           1           7
 C           83           1           8
 C           83           1           9
 O           83           1          10
 Na          83           1          11
 Na          84           1           5
 O           84           1           6
 C           84           1           7
 C           84           1           8
 C           84           1           9
 O           84           1          10
 Na          84           1          11
 Na          85           1           5
 O           85           1           6
 C           85           1           7
 C           85           1           8
 C           85           1           9
 O           85           1          10
 Na          85           1          11
 Na          86           1           5
 O           86           1           6
 C           86           1           7
 C           86           1           8
 C           86           1           9
 O           86           1          10
 Na          86           1          11
 Fe          86           1          12
 Na          87           1           5
 O           87           1           6
 C           87           1           7
 C           87           1           8
 C           87           1           9
 O           87           1          10
 Br          87           1          11
 Fe          87           1          12
 Na          88           1           5
 O           88           1           6
 C           88           1           7
 C           88           1           8
 C           88           1           9
 O           88           1          10
 Cl          88           1          11
 Fe          88           1          12
 Na          89           1           5
 O           89           1           6
 C           89           1           7
 C           89           1           8
 C           89           1           9
 C           89           1          10
 S           89           1          11
 Fe          89           1          12
 Na          90           1           5
 O           90           1           6
 C           90           1           7
 C           90           1           8
 C           90           1           9
 C           90           1          10
 H           90           1          11
 Na          90           1          12
 Fe          91           1           1
 Fe          91           1           2
 Fe          91           1           3
 Fe          91           1           4
 Na          91           1           5
 O           91           1           6
 C           91           1           7
 C           91           1           8
 C           91           1           9
 C           91           1          10
 O           91           1          11
 Na          91           1          12
 Fe          91           1          13
 Fe          91           1          14
 Fe          91           1          15
 Fe          91           1          16
 Fe          92           1           1
 Fe          92           1           2
 Fe          92           1           3
 Fe          92           1           4
 Na          92           1           5
 O           92           1           6
 C           92           1           7
 C           92           1           8
 C           92           1           9
 C           92           1          10
 O           92           1          11
 Na          92           1          12
 Fe          92           1          13
 Fe          92           1          14
 Fe          92           1          15
 Fe          92           1          16
 Fe          93           1           1
 Fe          93           1           2
 Fe          93           1           3
 Fe          93           1           4
 Na          93           1           5
 O           93           1           6
 C           93           1           7
 C           93           1           8
 C           93           1           9
 C           93           1          10
 O           93           1          11
 Na          93           1          12
 Fe          93           1          13
 Fe          93           1          14
 Fe          93           1          15
 Fe          93           1          16
 Na          94           1           5
 O           94           1           6
 C           94           1           7
 C           94           1           8
 C           94           1           9
 C           94           1          10
 O           94           1          11
 Na          94           1          12
 Na          95           1           5
 O           95           1           6
 C           95           1           7
 C           95           1           8
 C           95           1           9
 C           95           1          10
 O           95           1          11
 Na          95           1          12
 Na          96           1           5
 O           96           1           6
 C           96           1           7
 C           96           1           8
 C           96           1           9
 C           96           1          10
 O           96           1          11
 Na          96           1          12
 Na          97           1           5
 O           97           1           6
 C           97           1           7
 C           97           1           8
 C           97           1           9
 C           97           1          10
 O           97           1          11
 Na          97           1          12
 Na          98           1           5
 O           98           1           6
 C           98           1           7
 C           98           1           8
 C           98           1           9
 C           98           1          10
 O           98           1          11
 Na          98           1          12
 Na          99           1           5
 O           99           1           6
 C           99           1           7
 C           99           1           8
 C           99           1           9
 C           99           1          10
 O           99           1          11
 Na          99           1          12
 Na         100           1           5
 O          100           1           6
 C          100           1           7
 C          100           1           8
 C          100           1           9
 C          100           1          10
 O          100           1          11
 Na         100           1          12
 Na         101           1           5
 O          101           1           6
 C          101           1           7
 C          101           1           8
 C          101           1           9
 C          101           1          10
 O          101           1          11
 Na         101           1          12
 Na         102           1           5
 O          102           1           6
 C          102           1           7
 C          102           1           8
 C          102           1           9
 C          102           1          10
 O          102           1          11
 Na         102           1          12
 Na         103           1           5
 O          103           1           6
 C          103           1           7
 C          103           1           8
 C          103           1           9
 C          103           1          10
 O          103           1          11
 Na         103           1          12
 Na         104           1           5
 O          104           1           6
 C          104           1           7
 C          104           1           8
 C          104           1           9
 C          104           1          10
 O          104           1          11
 Na         104           1          12
 Na         105           1           5
 O          105           1           6
 C          105           1           7
 C          105           1           8
 C          105           1           9
 C          105           1          10
 O          105           1          11
 Na         105           1          12
 Na         106           1           5
 O          106           1           6
 C          106           1           7
 C          106           1           8
 C          106           1           9
 C          106           1          10
 O          106           1          11
 Na         106           1          12
 Na         107           1           5
 O          107           1           6
 C          107           1           7
 C          107           1           8
 C          107           1           9
 C          107           1          10
 O          107           1          11
 Na         107           1          12
 Br         108           1           5
 O          108           1           6
 C          108           1           7
 C          108           1           8
 C          108           1           9
 C          108           1          10
 O          108           1          11
 Na         108           1          12
 Fe         109           1           4
 Cl         109           1           5
 O          109           1           6
 C          109           1           7
 C          109           1           8
 C          109           1           9
 C          109           1          10
 O          109           1          11
 Na         109           1          12
 Na         110           1           4
 N          110           1           5
 C          110           1           6
 C          110           1           7
 C          110           1           8
 C          110           1           9
 C          110           1          10
 O          110           1          11
 Na         110           1          12
 Na         111           1           4
 H          111           1           5
 C          111           1           6
 C          111           1           7
 C          111           1           8
 C          111           1           9
 C          111           1          10
 O          111           1          11
 Na         111           1          12
 Br         112           1           4
 O          112           1           5
 C          112           1           6
 C          112           1           7
 C          112           1           8
 C          112           1           9
 C          112           1          10
 O          112           1          11
 Cl         112           1          12
 S          113           1           4
 C          113           1           5
 C          113           1           6
 C          113           1           7
 C          113           1           8
 C          113           1           9
 C          113           1          10
 C          113           1          11
 S          113           1          12
